,대여소_ID,주소1,주소2,위도,경도,isin강서,주소,용도지역_1,용도지역_2,용도지역_3,용도지역_4,용도지역
131,ST-2059,서울특별시 강서구 화곡로65길 62 강서구민올림픽체육센터,,37.559906,126.850426,강서,서울 강서구 화곡로65길 62,제3종일반주거지역,제2종일반주거지역,도시지역,중요시설물보호지구(공항),
132,ST-2058,서울특별시 강서구 수명로2길 105 마곡수명산파크5단지아파트,,37.550617,126.826881,강서,서울 강서구 수명로2길 105,제2종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항),
133,ST-2057,서울특별시 강서구 마곡동 811-6,,37.572975,126.832443,강서,서울 강서구 마곡동 811-6,,,,,
134,ST-2056,서울특별시 강서구 내발산동 741-2,,37.553631,126.828613,강서,서울 강서구 내발산동 741-2,제3종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항),
135,ST-2055,서울특별시 강서구 화곡동 663-15,,37.531395,126.847191,강서,서울 강서구 화곡동 663-15,제2종일반주거지역,도시지역,일반상업지역,건축선,
136,ST-2054,서울특별시 강서구 화곡동 662-6,,37.53159,126.846642,강서,서울 강서구 화곡동 662-6,제3종일반주거지역,도시지역,일반상업지역,건축선,
137,ST-2053,서울특별시 강서구 마곡서로 133 마곡엠밸리7단지,,37.566689,126.824699,강서,서울 강서구 마곡서로 133,제3종일반주거지역,도시지역,준주거지역,중요시설물보호지구(공항),
138,ST-2052,서울특별시 강서구 마곡서로 101 동익드미라벨복합빌딩,,37.562294,126.823952,강서,서울 강서구 마곡서로 101,제3종일반주거지역,도시지역,일반상업지역,중요시설물보호지구(공항),
139,ST-2051,서울특별시 강서구 마곡동 741-1,,37.564938,126.819359,강서,서울 강서구 마곡동 741-1,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
140,ST-2050,서울특별시 강서구 마곡중앙1로 71 마곡 13단지 힐스테이트 마스터,,37.558632,126.819916,강서,서울 강서구 마곡중앙1로 71,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
141,ST-2049,서울특별시 강서구 마곡동 728-352,,37.555309,126.829857,강서,서울 강서구 마곡동 728-352,,,,,
142,ST-2048,서울특별시 강서구 마곡동 728-46,,37.555241,126.834717,강서,서울 강서구 마곡동 728-46,,,,,
143,ST-2047,서울특별시 강서구 마곡동 769-4,,37.559128,126.834953,강서,서울 강서구 마곡동 769-4,,,,,
144,ST-2046,서울특별시 강서구 마곡중앙로 177 더넥센유니버시티,,37.569485,126.828094,강서,서울 강서구 마곡중앙로 177,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역,
145,ST-2045,서울특별시 강서구 마곡동로 115,,37.565804,126.828079,강서,서울 강서구 마곡동로 115,자연녹지지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
146,ST-2044,서울특별시 강서구 마곡중앙10로 10 LG사이언스파크,,37.563927,126.830643,강서,서울 강서구 마곡중앙10로 10,자연녹지지역,도시지역,준공업지역,중요시설물보호지구(공항),
