,대여소_ID,주소1,주소2,주소,분류,용도지역,
145,ST-2045,서울특별시 강서구 마곡동로 115,,서울 강서구 마곡동로 115, ,상업지역,
146,ST-2044,서울특별시 강서구 마곡중앙10로 10 LG사이언스파크,,서울 강서구 마곡중앙10로 10,상업지역,상업지역,
147,ST-2043,서울특별시 강서구 마곡동 775-3,,서울 강서구 마곡동 775-3,상업지역,상업지역,
148,ST-2042,서울특별시 강서구 마곡동로 161 서울식물원,,서울 강서구 마곡동로 161,상업지역,상업지역,
149,ST-2041,서울특별시 강서구 마곡중앙8로3길 79,,서울 강서구 마곡중앙8로3길 79,상업지역,상업지역,
150,ST-2040,서울특별시 강서구 마곡동 789-10,,서울 강서구 마곡동 789-10,상업지역,상업지역,
151,ST-2038,서울특별시 강서구 등촌동 709,,서울 강서구 등촌동 709,주거지역,주거지역,
152,ST-2037,서울특별시 강서구 마곡동 727-1243,,서울 강서구 마곡동 727-1243, ,주거지역,
153,ST-2036,서울특별시 강서구 공항대로 195 힐스테이트에코동익,,서울 강서구 공항대로 195,상업지역,상업지역,
154,ST-2035,서울특별시 강서구 마곡중앙8로 32 스페이스K 서울,,서울 강서구 마곡중앙8로 32,상업지역,상업지역,
155,ST-2034,서울특별시 강서구 마곡동 806-5,,서울 강서구 마곡동 806-5, ,주거지역,
156,ST-2033,서울특별시 강서구 마곡중앙8로 71 엘지사이언스파크,,서울 강서구 마곡중앙8로 71,상업지역,상업지역,
157,ST-2032,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소,,서울 강서구 마곡중앙로 201,상업지역,상업지역,
158,ST-2031,서울특별시 강서구 마곡중앙5로 2 마곡나루역(9호선),,서울 강서구 마곡중앙5로 2,주거지역,주거지역,
159,ST-2030,서울특별시 강서구 강서로47길 108 마곡수명산파크1단지아파트,,서울 강서구 강서로47길 108,주거지역,주거지역,
160,ST-2029,서울특별시 강서구 화곡동 19-2,,서울 강서구 화곡동 19-2,주거지역,주거지역,
161,ST-2028,서울특별시 강서구 가로공원로 240,,서울 강서구 가로공원로 240,주거지역,주거지역,
162,ST-2027,서울특별시 강서구 가로공원로 189 가로공원로 지하공영주차장,,서울 강서구 가로공원로 189,주거지역,주거지역,
163,ST-2026,서울특별시 강서구 강서로 515 라이품,,서울 강서구 강서로 515,주거지역,주거지역,
164,ST-2025,서울특별시 강서구 가양동 1459-11,,서울 강서구 가양동 1459-11,주거지역,주거지역,
165,ST-2024,서울특별시 강서구 가양동 18-23,,서울 강서구 가양동 18-23,상업지역,상업지역,
166,ST-2023,서울특별시 강서구 가양동 1458-13,,서울 강서구 가양동 1458-13,주거지역,주거지역,
167,ST-2022,서울특별시 강서구 방화동 813-18,,서울 강서구 방화동 813-18,주거지역,주거지역,
168,ST-2021,서울특별시 강서구 양천로 431 홈플러스가양점,,서울 강서구 양천로 431,주거지역,주거지역,
169,ST-2020,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥,,서울 강서구 화곡로 398,상업지역,상업지역,
170,ST-2018,서울특별시 강서구 공항대로 607 서울도시가스사옥,,서울 강서구 공항대로 607,주거지역,주거지역,
171,ST-1750,서울특별시 강서구 개화동로8길 17,개화정비,서울 강서구 개화동로8길 17, , ,
172,ST-1727,서울특별시 강서구 마곡서1로 146,마곡엠밸리2단지 202동 인근,서울 강서구 마곡서1로 146,주거지역,주거지역,
173,ST-1718,서울특별시 강서구 마곡중앙5로 지하 2,마곡나루역(공항철도) 5번출구 뒤편,서울 강서구 마곡중앙5로 2,주거지역,주거지역,
174,ST-1715,서울특별시 강서구 마곡중앙10로 10,LG 사이언스파크,서울 강서구 마곡중앙10로 10,상업지역,상업지역,
175,ST-1714,서울특별시 강서구 강서로 247,엘펠리체 호텔 건너편,서울 강서구 강서로 247,주거지역,주거지역,
176,ST-1713,서울특별시 강서구 마곡동로 161,서울식물원(문화센터) 건너편,서울 강서구 마곡동로 161,상업지역,상업지역,
177,ST-1712,서울특별시 강서구 마곡동로 110,코오롱글로벌㈜,서울 강서구 마곡동로 110,상업지역,상업지역,
178,ST-1711,서울특별시 강서구 마곡중앙8로3길 21,케이티엔에프빌딩 인근,서울 강서구 마곡중앙8로3길 21,상업지역,상업지역,
179,ST-1710,서울특별시 강서구 내발산동 741-8,,서울 강서구 내발산동 741-8,주거지역,주거지역,
180,ST-1709,서울특별시 강서구 공항대로 지하 163,마곡역 교차로(2번출구),서울 강서구 공항대로 163,상업지역,상업지역,
181,ST-1708,서울특별시 강서구 마곡중앙로 201,롯데중앙연구소,서울 강서구 마곡중앙로 201,상업지역,상업지역,
182,ST-1695,서울특별시 강서구 개화동로8길 38,개화광역환승센터,서울 강서구 개화동로8길 38, , ,
183,ST-1694,서울특별시 강서구 강서로 247,우장산역 3번출구,서울 강서구 강서로 247,주거지역,주거지역,
